INFO - main.py - 2022-09-04 15:50:50,082 - Using device:cuda
INFO - main.py - 2022-09-04 15:50:50,086 - Writing log file to algorithms/A2C_GAE/logs
INFO - main.py - 2022-09-04 15:50:50,086 - Exp instance id = 8919
INFO - main.py - 2022-09-04 15:50:50,087 - Exp comment = 
INFO - main.py - 2022-09-04 15:50:53,408 - Start Training! Env: CartPole-v0, Algorithm: A2C_GAE
INFO - main.py - 2022-09-04 15:51:13,339 - episode: 177, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:13,381 - episode: 178, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:13,429 - episode: 179, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 15:51:13,467 - episode: 180, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:13,513 - episode: 181, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:13,555 - episode: 182, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:13,595 - episode: 183, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:13,634 - episode: 184, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:13,675 - episode: 185, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:13,714 - episode: 186, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:13,757 - episode: 187, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:13,800 - episode: 188, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:13,839 - episode: 189, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:13,883 - episode: 190, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:13,924 - episode: 191, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:13,964 - episode: 192, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:14,005 - episode: 193, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:14,047 - episode: 194, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:14,097 - episode: 195, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 15:51:14,142 - episode: 196, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:14,186 - episode: 197, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:14,225 - episode: 198, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:14,269 - episode: 199, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:14,305 - episode: 200, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:14,341 - episode: 201, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:14,385 - episode: 202, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:14,425 - episode: 203, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:14,465 - episode: 204, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:14,505 - episode: 205, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:14,544 - episode: 206, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:14,580 - episode: 207, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:14,619 - episode: 208, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:14,672 - episode: 209, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 15:51:14,724 - episode: 210, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 15:51:14,765 - episode: 211, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:14,805 - episode: 212, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:14,846 - episode: 213, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:14,889 - episode: 214, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:14,933 - episode: 215, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:14,976 - episode: 216, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:15,013 - episode: 217, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:15,064 - episode: 218, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 15:51:15,110 - episode: 219, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:15,160 - episode: 220, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 15:51:15,207 - episode: 221, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:15,248 - episode: 222, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:15,290 - episode: 223, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:15,325 - episode: 224, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:15,368 - episode: 225, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:15,413 - episode: 226, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:15,455 - episode: 227, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:15,492 - episode: 228, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:15,533 - episode: 229, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:15,574 - episode: 230, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:15,611 - episode: 231, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:15,650 - episode: 232, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:15,690 - episode: 233, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:15,725 - episode: 234, steps: 9, reward: 9.0
