INFO - main.py - 2022-08-27 12:08:37,878 - Using device:cuda
INFO - main.py - 2022-08-27 12:08:37,880 - Writing log file to algorithms/QLearning/logs
INFO - main.py - 2022-08-27 12:08:37,880 - Exp instance id = 17274
INFO - main.py - 2022-08-27 12:08:37,881 - Exp comment = 
INFO - main.py - 2022-08-27 12:08:38,008 - Start Training! Env: CliffWalking-v0, Algorithm: QLearning
INFO - main.py - 2022-08-27 12:08:39,031 - episode: 287, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:39,032 - episode: 288, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:39,034 - episode: 289, steps: 14, reward: -14
INFO - main.py - 2022-08-27 12:08:39,037 - episode: 290, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:39,040 - episode: 291, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:39,043 - episode: 292, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:39,045 - episode: 293, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:39,047 - episode: 294, steps: 14, reward: -14
INFO - main.py - 2022-08-27 12:08:39,048 - episode: 295, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:39,051 - episode: 296, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:39,053 - episode: 297, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:08:39,054 - episode: 298, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:39,057 - episode: 299, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:08:39,059 - episode: 300, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:39,061 - episode: 301, steps: 14, reward: -14
