INFO - main.py - 2022-08-29 10:41:55,076 - Using device:cuda
INFO - main.py - 2022-08-29 10:41:55,077 - Writing log file to algorithms/DQN/logs
INFO - main.py - 2022-08-29 10:41:55,118 - Exp instance id = 41593
INFO - main.py - 2022-08-29 10:41:55,118 - Exp comment = 
INFO - main.py - 2022-08-29 10:41:58,680 - Start Training! Env: CartPole-v0, Algorithm: DQN
INFO - main.py - 2022-08-29 10:49:33,691 - episode: 176, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:37,395 - episode: 177, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:41,039 - episode: 178, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:44,575 - episode: 179, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:48,092 - episode: 180, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:51,601 - episode: 181, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:55,163 - episode: 182, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:49:58,686 - episode: 183, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:02,237 - episode: 184, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:05,758 - episode: 185, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:09,283 - episode: 186, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:12,811 - episode: 187, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:16,312 - episode: 188, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:19,835 - episode: 189, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:23,363 - episode: 190, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:26,894 - episode: 191, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:30,452 - episode: 192, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:33,994 - episode: 193, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:37,497 - episode: 194, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:40,979 - episode: 195, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:44,545 - episode: 196, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:48,032 - episode: 197, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:51,571 - episode: 198, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:55,135 - episode: 199, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:50:55,137 - End Training! 200 Episodes!
