INFO - main.py - 2022-08-29 21:58:53,527 - Using device:cuda
INFO - main.py - 2022-08-29 21:58:53,527 - Writing log file to algorithms/Reinforce/logs
INFO - main.py - 2022-08-29 21:58:53,528 - Exp instance id = 1695
INFO - main.py - 2022-08-29 21:58:53,528 - Exp comment = 
INFO - main.py - 2022-08-29 21:58:57,264 - Start Training! Env: CartPole-v0, Algorithm: Reinforce
INFO - main.py - 2022-08-29 21:59:20,426 - episode: 169, steps: 29, reward: 29.0
INFO - main.py - 2022-08-29 21:59:20,465 - episode: 170, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 21:59:20,500 - episode: 171, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 21:59:20,544 - episode: 172, steps: 24, reward: 24.0
INFO - main.py - 2022-08-29 21:59:20,586 - episode: 173, steps: 22, reward: 22.0
INFO - main.py - 2022-08-29 21:59:20,649 - episode: 174, steps: 40, reward: 40.0
INFO - main.py - 2022-08-29 21:59:20,685 - episode: 175, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 21:59:20,724 - episode: 176, steps: 18, reward: 18.0
INFO - main.py - 2022-08-29 21:59:20,755 - episode: 177, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 21:59:20,837 - episode: 178, steps: 54, reward: 54.0
INFO - main.py - 2022-08-29 21:59:20,871 - episode: 179, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:20,901 - episode: 180, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 21:59:20,938 - episode: 181, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 21:59:20,997 - episode: 182, steps: 34, reward: 34.0
INFO - main.py - 2022-08-29 21:59:21,058 - episode: 183, steps: 30, reward: 30.0
INFO - main.py - 2022-08-29 21:59:21,145 - episode: 184, steps: 53, reward: 53.0
INFO - main.py - 2022-08-29 21:59:21,192 - episode: 185, steps: 18, reward: 18.0
INFO - main.py - 2022-08-29 21:59:21,302 - episode: 186, steps: 68, reward: 68.0
INFO - main.py - 2022-08-29 21:59:21,359 - episode: 187, steps: 31, reward: 31.0
INFO - main.py - 2022-08-29 21:59:21,603 - episode: 188, steps: 9, reward: 9.0
INFO - main.py - 2022-08-29 21:59:21,641 - episode: 189, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 21:59:21,690 - episode: 190, steps: 23, reward: 23.0
INFO - main.py - 2022-08-29 21:59:21,730 - episode: 191, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 21:59:21,773 - episode: 192, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:21,846 - episode: 193, steps: 41, reward: 41.0
INFO - main.py - 2022-08-29 21:59:21,956 - episode: 194, steps: 68, reward: 68.0
INFO - main.py - 2022-08-29 21:59:22,012 - episode: 195, steps: 24, reward: 24.0
INFO - main.py - 2022-08-29 21:59:22,054 - episode: 196, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 21:59:22,107 - episode: 197, steps: 25, reward: 25.0
INFO - main.py - 2022-08-29 21:59:22,149 - episode: 198, steps: 18, reward: 18.0
INFO - main.py - 2022-08-29 21:59:22,228 - episode: 199, steps: 45, reward: 45.0
INFO - main.py - 2022-08-29 21:59:22,229 - End Training! 200 Episodes!
